gene,directionOfMovement,resistanceDirection,score
ABCA8,efflux,UP,1
ABCB1,efflux,UP,4
ABCB5,efflux,UP,4
ABCC1,efflux,UP,4
ABCC2,efflux,UP,5
ABCC3,efflux,UP,4
ABCC4,efflux,UP,1
ABCC5,efflux,UP,2
ABCD2,efflux,UP,4
ABCF2,efflux,UP,1
ABCG2,efflux,UP,4
ANXA4,efflux,UP,4
APC,efflux,DOWN,4
ARID1A,efflux,DOWN,4
ATP11B,efflux,UP,5
ATP7A,efflux,UP,4
ATP7B,efflux,UP,4
CHMP2B,efflux,DOWN,1
CLN3,efflux,UP,1
EHD1,efflux,UP,4
EIF2AK3,efflux,UP,2
GNPTG,efflux,UP,1
HOXB4,efflux,UP,1
IRF1,efflux,DOWN/UP,4
KAT5,efflux,DOWN/UP,1
LDLR,efflux,UP,4
LRRFIP1,efflux,UP,1
MAPK9,efflux,UP,1
MGAT1,efflux,UP,1
MGAT5,efflux,UP,1
MVP,efflux,UP,4
NFE2L2,efflux,UP,4
NOS1,efflux,UP,1
NOS3,efflux,UP,1
NR1I2,efflux,UP,1
PDZK1,efflux,UP,1
PER2,efflux,DOWN,2
PGRMC1,efflux,DOWN,2
PTCH1,efflux,UP,1
PTGER3,efflux,UP,2
PTGS2,efflux,UP,3
RAB7A,efflux,DOWN,4
RAB8A,efflux,UP,1
SLC27A2,efflux,DOWN,4
SLC7A11,efflux,UP,4
SMARCE1,efflux,UP,1
TMEM205,efflux,UP,1
TNFAIP8L2,efflux,DOWN,4
UGCG,efflux,UP,2
YY1,efflux,UP,5
AQP2,influx,DOWN,1
ATP1A1,influx,DOWN,1
ATP1B1,influx,DOWN,1
CLDN3,influx,DOWN/UP,2
CLDN4,influx,DOWN/UP,5
EZH2,influx,UP,4
FOLR1,influx,DOWN,4
IGF2BP3,influx,UP,4
IL1A,influx,DOWN/UP,2
LIN28B,influx,UP,4
LRRC8A,influx,DOWN,4
LRRC8D,influx,DOWN,4
RAB5C,influx,DOWN,1
SLC22A1,influx,DOWN,1
SLC22A2,influx,DOWN,4
SLC22A3,influx,DOWN,1
SLC31A1,influx,DOWN,4
SLC31A2,influx,UP,4
SLC40A1,influx,DOWN,1
SLCO1B3,influx,DOWN,1
TFRC,influx,DOWN,1