sample_number	Run230316_R1	Run230316_R2	Run230322_R1	Run230322_R2	Run230323_R1	Run230323_R2
1	1_S1_R1_001_Run230316.fastq.gz	1_S1_R2_001_Run230316.fastq.gz	1_S1_R1_001_Run230322.fastq.gz	1_S1_R2_001_Run230322.fastq.gz	1_S1_R1_001_Run230323.fastq.gz	1_S1_R2_001_Run230323.fastq.gz
2	2_S2_R1_001_Run230316.fastq.gz	2_S2_R2_001_Run230316.fastq.gz	2_S2_R1_001_Run230322.fastq.gz	2_S2_R2_001_Run230322.fastq.gz	2_S2_R1_001_Run230323.fastq.gz	2_S2_R2_001_Run230323.fastq.gz
3	3_S3_R1_001_Run230316.fastq.gz	3_S3_R2_001_Run230316.fastq.gz	3_S3_R1_001_Run230322.fastq.gz	3_S3_R2_001_Run230322.fastq.gz	3_S3_R1_001_Run230323.fastq.gz	3_S3_R2_001_Run230323.fastq.gz
4	4_S4_R1_001_Run230316.fastq.gz	4_S4_R2_001_Run230316.fastq.gz	4_S4_R1_001_Run230322.fastq.gz	4_S4_R2_001_Run230322.fastq.gz	4_S4_R1_001_Run230323.fastq.gz	4_S4_R2_001_Run230323.fastq.gz
5	5_S5_R1_001_Run230316.fastq.gz	5_S5_R2_001_Run230316.fastq.gz	5_S5_R1_001_Run230322.fastq.gz	5_S5_R2_001_Run230322.fastq.gz	5_S5_R1_001_Run230323.fastq.gz	5_S5_R2_001_Run230323.fastq.gz
6	6_S6_R1_001_Run230316.fastq.gz	6_S6_R2_001_Run230316.fastq.gz	6_S6_R1_001_Run230322.fastq.gz	6_S6_R2_001_Run230322.fastq.gz	6_S6_R1_001_Run230323.fastq.gz	6_S6_R2_001_Run230323.fastq.gz
7	7_S7_R1_001_Run230316.fastq.gz	7_S7_R2_001_Run230316.fastq.gz	7_S7_R1_001_Run230322.fastq.gz	7_S7_R2_001_Run230322.fastq.gz	7_S7_R1_001_Run230323.fastq.gz	7_S7_R2_001_Run230323.fastq.gz
8	8_S8_R1_001_Run230316.fastq.gz	8_S8_R2_001_Run230316.fastq.gz	8_S8_R1_001_Run230322.fastq.gz	8_S8_R2_001_Run230322.fastq.gz	8_S8_R1_001_Run230323.fastq.gz	8_S8_R2_001_Run230323.fastq.gz
9	9_S9_R1_001_Run230316.fastq.gz	9_S9_R2_001_Run230316.fastq.gz	9_S9_R1_001_Run230322.fastq.gz	9_S9_R2_001_Run230322.fastq.gz	9_S9_R1_001_Run230323.fastq.gz	9_S9_R2_001_Run230323.fastq.gz
10	10_S10_R1_001_Run230316.fastq.gz	10_S10_R2_001_Run230316.fastq.gz	10_S10_R1_001_Run230322.fastq.gz	10_S10_R2_001_Run230322.fastq.gz	10_S10_R1_001_Run230323.fastq.gz	10_S10_R2_001_Run230323.fastq.gz
11	11_S11_R1_001_Run230316.fastq.gz	11_S11_R2_001_Run230316.fastq.gz	11_S11_R1_001_Run230322.fastq.gz	11_S11_R2_001_Run230322.fastq.gz	11_S11_R1_001_Run230323.fastq.gz	11_S11_R2_001_Run230323.fastq.gz
12	12_S12_R1_001_Run230316.fastq.gz	12_S12_R2_001_Run230316.fastq.gz	12_S12_R1_001_Run230322.fastq.gz	12_S12_R2_001_Run230322.fastq.gz	12_S12_R1_001_Run230323.fastq.gz	12_S12_R2_001_Run230323.fastq.gz
13	13_S13_R1_001_Run230316.fastq.gz	13_S13_R2_001_Run230316.fastq.gz	13_S13_R1_001_Run230322.fastq.gz	13_S13_R2_001_Run230322.fastq.gz	13_S13_R1_001_Run230323.fastq.gz	13_S13_R2_001_Run230323.fastq.gz
14	14_S14_R1_001_Run230316.fastq.gz	14_S14_R2_001_Run230316.fastq.gz	14_S14_R1_001_Run230322.fastq.gz	14_S14_R2_001_Run230322.fastq.gz	14_S14_R1_001_Run230323.fastq.gz	14_S14_R2_001_Run230323.fastq.gz
15	15_S15_R1_001_Run230316.fastq.gz	15_S15_R2_001_Run230316.fastq.gz	15_S15_R1_001_Run230322.fastq.gz	15_S15_R2_001_Run230322.fastq.gz	15_S15_R1_001_Run230323.fastq.gz	15_S15_R2_001_Run230323.fastq.gz
16	16_S16_R1_001_Run230316.fastq.gz	16_S16_R2_001_Run230316.fastq.gz	16_S16_R1_001_Run230322.fastq.gz	16_S16_R2_001_Run230322.fastq.gz	16_S16_R1_001_Run230323.fastq.gz	16_S16_R2_001_Run230323.fastq.gz
17	17_S17_R1_001_Run230316.fastq.gz	17_S17_R2_001_Run230316.fastq.gz	17_S17_R1_001_Run230322.fastq.gz	17_S17_R2_001_Run230322.fastq.gz	17_S17_R1_001_Run230323.fastq.gz	17_S17_R2_001_Run230323.fastq.gz
18	18_S18_R1_001_Run230316.fastq.gz	18_S18_R2_001_Run230316.fastq.gz	18_S18_R1_001_Run230322.fastq.gz	18_S18_R2_001_Run230322.fastq.gz	18_S18_R1_001_Run230323.fastq.gz	18_S18_R2_001_Run230323.fastq.gz
19	19_S19_R1_001_Run230316.fastq.gz	19_S19_R2_001_Run230316.fastq.gz	19_S19_R1_001_Run230322.fastq.gz	19_S19_R2_001_Run230322.fastq.gz	19_S19_R1_001_Run230323.fastq.gz	19_S19_R2_001_Run230323.fastq.gz
20	20_S20_R1_001_Run230316.fastq.gz	20_S20_R2_001_Run230316.fastq.gz	20_S20_R1_001_Run230322.fastq.gz	20_S20_R2_001_Run230322.fastq.gz	20_S20_R1_001_Run230323.fastq.gz	20_S20_R2_001_Run230323.fastq.gz
21	21_S21_R1_001_Run230316.fastq.gz	21_S21_R2_001_Run230316.fastq.gz	21_S21_R1_001_Run230322.fastq.gz	21_S21_R2_001_Run230322.fastq.gz	21_S21_R1_001_Run230323.fastq.gz	21_S21_R2_001_Run230323.fastq.gz
22	22_S22_R1_001_Run230316.fastq.gz	22_S22_R2_001_Run230316.fastq.gz	22_S22_R1_001_Run230322.fastq.gz	22_S22_R2_001_Run230322.fastq.gz	22_S22_R1_001_Run230323.fastq.gz	22_S22_R2_001_Run230323.fastq.gz
23	23_S23_R1_001_Run230316.fastq.gz	23_S23_R2_001_Run230316.fastq.gz	23_S23_R1_001_Run230322.fastq.gz	23_S23_R2_001_Run230322.fastq.gz	23_S23_R1_001_Run230323.fastq.gz	23_S23_R2_001_Run230323.fastq.gz
24	24_S24_R1_001_Run230316.fastq.gz	24_S24_R2_001_Run230316.fastq.gz	24_S24_R1_001_Run230322.fastq.gz	24_S24_R2_001_Run230322.fastq.gz	24_S24_R1_001_Run230323.fastq.gz	24_S24_R2_001_Run230323.fastq.gz
25	25_S25_R1_001_Run230316.fastq.gz	25_S25_R2_001_Run230316.fastq.gz	25_S25_R1_001_Run230322.fastq.gz	25_S25_R2_001_Run230322.fastq.gz	25_S25_R1_001_Run230323.fastq.gz	25_S25_R2_001_Run230323.fastq.gz
26	26_S26_R1_001_Run230316.fastq.gz	26_S26_R2_001_Run230316.fastq.gz	26_S26_R1_001_Run230322.fastq.gz	26_S26_R2_001_Run230322.fastq.gz	26_S26_R1_001_Run230323.fastq.gz	26_S26_R2_001_Run230323.fastq.gz
27	27_S27_R1_001_Run230316.fastq.gz	27_S27_R2_001_Run230316.fastq.gz	27_S27_R1_001_Run230322.fastq.gz	27_S27_R2_001_Run230322.fastq.gz	27_S27_R1_001_Run230323.fastq.gz	27_S27_R2_001_Run230323.fastq.gz
28	28_S28_R1_001_Run230316.fastq.gz	28_S28_R2_001_Run230316.fastq.gz	28_S28_R1_001_Run230322.fastq.gz	28_S28_R2_001_Run230322.fastq.gz	28_S28_R1_001_Run230323.fastq.gz	28_S28_R2_001_Run230323.fastq.gz
29	29_S29_R1_001_Run230316.fastq.gz	29_S29_R2_001_Run230316.fastq.gz	29_S29_R1_001_Run230322.fastq.gz	29_S29_R2_001_Run230322.fastq.gz	29_S29_R1_001_Run230323.fastq.gz	29_S29_R2_001_Run230323.fastq.gz
30	30_S30_R1_001_Run230316.fastq.gz	30_S30_R2_001_Run230316.fastq.gz	30_S30_R1_001_Run230322.fastq.gz	30_S30_R2_001_Run230322.fastq.gz	30_S30_R1_001_Run230323.fastq.gz	30_S30_R2_001_Run230323.fastq.gz
31	31_S31_R1_001_Run230316.fastq.gz	31_S31_R2_001_Run230316.fastq.gz	31_S31_R1_001_Run230322.fastq.gz	31_S31_R2_001_Run230322.fastq.gz	31_S31_R1_001_Run230323.fastq.gz	31_S31_R2_001_Run230323.fastq.gz
32	32_S32_R1_001_Run230316.fastq.gz	32_S32_R2_001_Run230316.fastq.gz	32_S32_R1_001_Run230322.fastq.gz	32_S32_R2_001_Run230322.fastq.gz	32_S32_R1_001_Run230323.fastq.gz	32_S32_R2_001_Run230323.fastq.gz
33	33_S33_R1_001_Run230316.fastq.gz	33_S33_R2_001_Run230316.fastq.gz	33_S33_R1_001_Run230322.fastq.gz	33_S33_R2_001_Run230322.fastq.gz	33_S33_R1_001_Run230323.fastq.gz	33_S33_R2_001_Run230323.fastq.gz
